,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
190,2016,Chile,CHL,0.944301893546814,0.07246376811594203,0.11061946902654866,0.05909439754412893,0.2311383600587683
191,2017,Chile,CHL,0.945840634896807,0.0713489409141583,0.1084070796460177,0.056792018419032995,0.25075344045430537
192,2018,Chile,CHL,0.947414885662569,0.06911928651059086,0.10398230088495575,0.05525709900230238,0.27620101397731056
193,2019,Chile,CHL,0.9490601552598691,0.06688963210702341,0.0995575221238938,0.05372217958557175,0.3017196063318539
194,2020,Chile,CHL,0.9507054248571691,0.06465997770345595,0.09734513274336283,0.05218726016884113,0.32060103054480427
195,2016,China,CHN,0.9020575252535465,0.08472686733556298,0.1084070796460177,0.07597851112816577,0.1034685071317043
196,2017,China,CHN,0.9051350079535325,0.07803790412486064,0.0995575221238938,0.07060629316960858,0.16796146065369544
197,2018,China,CHN,0.9079047423835197,0.0713489409141583,0.0907079646017699,0.06523407521105141,0.23214666590568778
198,2019,China,CHN,0.9103667285435085,0.0657748049052397,0.08185840707964602,0.060629316960859554,0.29072462965065293
199,2020,China,CHN,0.9143674560534902,0.06131549609810479,0.07743362831858407,0.056024558710667687,0.33533734405885773
200,2016,Colombia,COL,0.9082361635973644,0.14381270903010032,0.1814159292035398,0.11511895625479661,-0.38411286709264214
201,2017,Colombia,COL,0.9105206026785078,0.13935340022296544,0.1747787610619469,0.11204911742133537,-0.34071895063860524
202,2018,Colombia,COL,0.9126985135123439,0.13489409141583053,0.17035398230088494,0.10821181887950881,-0.30099889174000716
203,2019,Colombia,COL,0.914805405514642,0.13043478260869565,0.16371681415929204,0.10437452033768226,-0.25471268353135446
204,2020,Colombia,COL,0.9173739199219377,0.12709030100334448,0.1592920353982301,0.10130468150422102,-0.21990151429632565
205,2016,Comoros,COM,0.7539832614965349,0.5908584169453734,0.7101769911504424,0.5379892555640828,-4.71022156810187
206,2017,Comoros,COM,0.7564925935442156,0.5741360089186176,0.6924778761061947,0.5211051419800461,-4.553633620531788
207,2018,Comoros,COM,0.7589309067603582,0.5585284280936454,0.6747787610619469,0.5042210283960092,-4.399346346196811
208,2019,Comoros,COM,0.7613337105607318,0.5429208472686734,0.6592920353982301,0.48733691481197233,-4.251731749419195
209,2020,Comoros,COM,0.7637365143611055,0.5261984392419176,0.6415929203539823,0.4704528012279355,-4.095250330096419
210,2016,"Congo, Dem. Rep.",COD,0.7061047325679087,0.7926421404682273,0.6415929203539823,0.7122026093630084,-5.652768746882527
211,2017,"Congo, Dem. Rep.",COD,0.7104960636513501,0.7703455964325528,0.6305309734513274,0.6876438986953184,-5.472363644349011
212,2018,"Congo, Dem. Rep.",COD,0.7145441370490239,0.7502787068004458,0.6172566371681415,0.6646201074443591,-5.296263617833729
213,2019,"Congo, Dem. Rep.",COD,0.7182489527609298,0.7302118171683389,0.6039823008849557,0.6431312356101304,-5.126646526671137
